GENESIS-Tabelle: 12411-0010
Bevölkerung: Bundesländer, Stichtag;;;;;;;;;;
Fortschreibung des Bevölkerungsstandes;;;;;;;;;;
Bevölkerungsstand (Anzahl);;;;;;;;;;
;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag
;31.12.2008;31.12.2009;31.12.2010;31.12.2011;31.12.2012;31.12.2013;31.12.2014;31.12.2015;31.12.2016;31.12.2017
Baden-Württemberg;10749506;10744921;10753880;10512441;10569111;10631278;10716644;10879618;10951893;11023425
Bayern;12519728;12510331;12538696;12443372;12519571;12604244;12691568;12843514;12930751;12997204
Berlin;3431675;3442675;3460725;3326002;3375222;3421829;3469849;3520031;3574830;3613495
Brandenburg;2522493;2511525;2503273;2453180;2449511;2449193;2457872;2484826;2494648;2504040
Bremen;661866;661716;660706;652182;654774;657391;661888;671489;678753;681032
Hamburg;1772100;1774224;1786448;1718187;1734272;1746342;1762791;1787408;1810438;1830584
Hessen;6064953;6061951;6067021;5993771;6016481;6045425;6093888;6176172;6213088;6243262
Mecklenburg-Vorpommern;1664356;1651216;1642327;1606899;1600327;1596505;1599138;1612362;1610674;1611119
Niedersachsen;7947244;7928815;7918293;7774253;7778995;7790559;7826739;7926599;7945685;7962775
Nordrhein-Westfalen;17933064;17872763;17845154;17544938;17554329;17571856;17638098;17865516;17890100;17912134
Rheinland-Pfalz;4028351;4012675;4003745;3990033;3990278;3994366;4011582;4052803;4066053;4073679
Saarland;1030324;1022585;1017567;997855;994287;990718;989035;995597;996651;994187
Sachsen;4192801;4168732;4149477;4054182;4050204;4046385;4055274;4084851;4081783;4081308
Sachsen-Anhalt;2381872;2356219;2335006;2276736;2259393;2244577;2235548;2245470;2236252;2223081
Schleswig-Holstein;2834260;2832027;2834259;2802266;2806531;2815955;2830864;2858714;2881926;2889821
Thüringen;2267763;2249882;2235025;2181603;2170460;2160840;2156759;2170714;2158128;2151205
__________
"Berlin: bis 1990 nur Berlin-West
Neue Länder ab 1991

Ab 2011: Ergebnisse auf Grundlage des Zensus 2011."
(C)opyright Statistisches Bundesamt (Destatis), 2018
Stand: 30.11.2018 / 23:16:58
